FID	IID	Rivername	Region	Lat	Lon	Dataset
CB	10_CB_B10	CapeCaribou	NorthAm	53.62011	-60.4157	May 2021 5700 Recluster
CL	10_CL_G12	CarolineRiver	NorthAm	53.25389	-60.4157	May 2021 5700 Recluster
PR	10_PR_D07	PetersRiver	NorthAm	53.337778	-60.705	May 2021 5700 Recluster
RW	10_RW_H01	RedWineRiver	NorthAm	53.927	-60.996	May 2021 5700 Recluster
SR	10_SR_E04	SusanRiver	NorthAm	53.737917	-61.0425	May 2021 5700 Recluster
CB	11_CB_C10	CapeCaribou	NorthAm	53.62011	-60.4157	May 2021 5700 Recluster
PR	11_PR_E07	PetersRiver	NorthAm	53.337778	-60.705	May 2021 5700 Recluster
RW	11_RW_A02	RedWineRiver	NorthAm	53.927	-60.996	May 2021 5700 Recluster
SR	11_SR_F04	SusanRiver	NorthAm	53.737917	-61.0425	May 2021 5700 Recluster
CB	12_CB_D10	CapeCaribou	NorthAm	53.62011	-60.4157	May 2021 5700 Recluster
PR	12_PR_F07	PetersRiver	NorthAm	53.337778	-60.705	May 2021 5700 Recluster
RW	12_RW_B02	RedWineRiver	NorthAm	53.927	-60.996	May 2021 5700 Recluster
CB	13_CB_E10	CapeCaribou	NorthAm	53.62011	-60.4157	May 2021 5700 Recluster
RW	13_RW_C02	RedWineRiver	NorthAm	53.927	-60.996	May 2021 5700 Recluster
SR	13_SR_G04	SusanRiver	NorthAm	53.737917	-61.0425	May 2021 5700 Recluster
PR	14_PR_G07	PetersRiver	NorthAm	53.337778	-60.705	May 2021 5700 Recluster
RW	14_RW_D02	RedWineRiver	NorthAm	53.927	-60.996	May 2021 5700 Recluster
SR	14_SR_H04	SusanRiver	NorthAm	53.737917	-61.0425	May 2021 5700 Recluster
CB	15_CB_F10	CapeCaribou	NorthAm	53.62011	-60.4157	May 2021 5700 Recluster
PR	15_PR_H07	PetersRiver	NorthAm	53.337778	-60.705	May 2021 5700 Recluster
RW	15_RW_E02	RedWineRiver	NorthAm	53.927	-60.996	May 2021 5700 Recluster
SR	15_SR_A05	SusanRiver	NorthAm	53.737917	-61.0425	May 2021 5700 Recluster
CB	16_CB_G10	CapeCaribou	NorthAm	53.62011	-60.4157	May 2021 5700 Recluster
PR	16_PR_A08	PetersRiver	NorthAm	53.337778	-60.705	May 2021 5700 Recluster
RW	16_RW_F02	RedWineRiver	NorthAm	53.927	-60.996	May 2021 5700 Recluster
SR	16_SR_B05	SusanRiver	NorthAm	53.737917	-61.0425	May 2021 5700 Recluster
CB	17_CB_H10	CapeCaribou	NorthAm	53.62011	-60.4157	May 2021 5700 Recluster
PR	17_PR_B08	PetersRiver	NorthAm	53.337778	-60.705	May 2021 5700 Recluster
CB	18_CB_A11	CapeCaribou	NorthAm	53.62011	-60.4157	May 2021 5700 Recluster
PR	18_PR_C08	PetersRiver	NorthAm	53.337778	-60.705	May 2021 5700 Recluster
RW	18_RW_G02	RedWineRiver	NorthAm	53.927	-60.996	May 2021 5700 Recluster
SR	18_SR_C05	SusanRiver	NorthAm	53.737917	-61.0425	May 2021 5700 Recluster
CB	19_CB_B11	CapeCaribou	NorthAm	53.62011	-60.4157	May 2021 5700 Recluster
PR	19_PR_D08	PetersRiver	NorthAm	53.337778	-60.705	May 2021 5700 Recluster
