,Long,Lat,Model,Bio1,Bio2,Bio3,Bio4,Bio5,Bio6,Bio7,Bio8,Bio9,Bio10,Bio11,Bio12,Bio13,Bio14,Bio15,Bio16,Bio17,Bio18,Bio19,LongitudePoints,LatitudePoints
1,-52.83325479,47.2633216,BioSimMap,5.679023208,8.338812014,27.73735363,734.3700442,21.6179409,-8.460326706,30.0934004,3.324408631,8.918203329,15.04880582,-3.031957135,1424.175804,200.327272,55.98749421,37.96935854,483.5471869,237.356324,318.3291414,389.544351,-52.84,47.25
2,-52.99985862,46.93018947,BioSimMap,5.302936397,8.050478482,27.78025785,714.7045124,20.6059047,-8.462925143,29.05634071,3.294987444,7.726311079,14.5056067,-3.196683842,1473.547986,204.5399404,59.20963664,36.48610836,490.3635031,256.1810708,338.6125673,390.440899,-52.96,46.94
3,-53.24976437,47.42988766,BioSimMap,5.431388448,8.747284529,28.12976223,763.2569372,21.89254635,-9.299943517,31.19961455,2.152727416,8.893197459,15.07318155,-3.648466442,1419.163332,199.4509084,53.30857584,39.12311177,482.215431,229.6747407,314.4533569,395.0738313,-53.23,47.39
4,-53.33306629,46.76362341,BioSimMap,5.370353664,7.866791853,27.61182599,703.0114761,20.21846301,-8.376431384,28.49786861,4.026239738,7.114240247,14.47930103,-3.128221366,1489.140884,202.8261443,60.50906326,35.04618794,486.0418202,262.9153956,352.6139337,384.4187496,-53.36,46.74
5,-53.33306629,47.18003856,BioSimMap,5.428603219,8.382914636,28.08508789,736.9661984,21.07960734,-8.8597681,29.93430352,2.891574915,8.037651947,14.8106866,-3.35815367,1470.939258,204.5580031,58.06041797,36.75325975,493.2470718,249.9435935,341.1272698,399.4611452,-53.37,47.2
6,-53.58297204,47.2633216,BioSimMap,5.666633013,8.024688128,27.67697274,720.9363567,20.65411191,-8.421167688,29.05360687,3.80523896,7.710189937,14.85529553,-2.991425874,1463.984819,205.8196575,56.62651081,37.5652891,490.9803296,245.4344036,345.578901,390.7019426,-53.55,47.22
7,-53.66627396,47.18003856,BioSimMap,5.47813997,7.944819916,27.46461966,722.6530375,20.45242956,-8.574510586,28.98280069,3.635238946,7.513175763,14.71100419,-3.206585966,1489.933445,207.6143896,58.22280139,36.69606646,496.1368698,253.7761156,351.9791907,394.0627869,-53.62,47.21
8,-53.66627396,47.51317069,BioSimMap,5.535353416,8.311181196,27.78332538,741.0279452,20.91736961,-9.047318505,29.95777223,2.751076144,8.202264296,14.88498164,-3.417983187,1418.563932,201.932638,55.63244782,38.06450974,480.0655562,235.804229,333.4933382,381.6458175,-53.68,47.51
9,-53.83287779,47.2633216,BioSimMap,5.341712771,8.004373702,27.31401681,734.6219646,20.47961956,-8.931679912,29.34595731,3.485481757,7.391562703,14.70874216,-3.509676692,1486.835333,207.3164751,57.28089035,37.06560405,495.947026,249.3934605,348.4406236,392.136619,-53.8,47.29
10,-53.83287779,47.2633216,BioSimMap,5.341712771,8.004373702,27.31401681,734.6219646,20.47961956,-8.931679912,29.34595731,3.485481757,7.391562703,14.70874216,-3.509676692,1486.835333,207.3164751,57.28089035,37.06560405,495.947026,249.3934605,348.4406236,392.136619,-53.8,47.29
11,-53.83287779,47.34660463,BioSimMap,5.367103943,8.039351847,27.32979309,738.5700966,20.55043928,-8.973684858,29.47183274,3.434356749,7.406912996,14.75681689,-3.522319964,1470.332299,205.7890331,56.21289737,37.43820818,492.588364,244.6925343,343.894676,389.8948409,-53.87,47.35
12,-53.83287779,47.51317069,BioSimMap,5.17341287,8.279951189,27.378574,756.8239091,20.81149185,-9.53373966,30.28501041,2.392384644,7.883393589,14.72328337,-3.95929113,1438.176737,202.1492458,55.94426085,37.39849546,483.9181117,239.9741326,332.642162,385.3189783,-53.89,47.54
13,-53.9161797,47.2633216,BioSimMap,5.640244705,7.742597208,27.1066715,715.7549736,20.2549606,-8.39874299,28.59076728,4.45969039,7.429994219,14.76940539,-3.03914951,1477.076484,206.4064037,56.83966683,37.37580872,490.7065623,247.7461555,350.4049984,380.4115366,-53.88,47.23
14,-53.99948162,46.93018947,BioSimMap,4.989541368,8.02681253,27.15251746,736.0811485,20.2839462,-9.369673392,29.52443095,3.000459862,7.433143841,14.45028852,-3.970195523,1528.241988,209.5803249,61.11044018,35.47113526,500.0448973,263.4991329,358.9046854,391.7591047,-53.97,46.89
15,-53.99948162,47.18003856,BioSimMap,5.417130307,7.822902796,27.05475714,723.4888395,20.2471634,-8.760274782,28.91910344,3.991192847,7.504332052,14.65472061,-3.375900122,1499.612766,208.4041223,58.47028486,36.80949206,495.6159556,253.5625834,353.759999,384.1737422,-54.03,47.18
16,-53.99948162,47.92958585,BioSimMap,4.782737086,8.872939622,27.34605561,800.6325177,21.68746404,-10.88408977,32.57008008,2.10026202,6.980156893,14.75597623,-4.903763143,1347.765009,187.909119,53.76258069,36.03489155,447.0800915,234.0218673,316.0117924,355.2024949,-53.96,47.97
17,-53.99948162,48.67913313,BioSimMap,4.972982564,9.030621819,26.56325573,838.0116026,22.65564253,-11.35540282,34.09805303,4.590166526,5.437334742,15.30452486,-5.104814448,1146.214043,163.2283757,44.25195043,37.19814654,381.920195,199.9729129,284.4662937,280.2557403,-54,48.67
18,-54.08278354,47.09675553,BioSimMap,5.534663852,7.722101688,26.98608417,713.0223061,20.14441141,-8.553918408,28.58677985,4.395859547,7.606243634,14.65879552,-3.179498232,1504.023616,209.0565334,59.04675181,36.76984145,494.6812685,255.5951739,357.1130799,378.4388677,-54.06,47.12
19,-54.16608545,46.93018947,BioSimMap,5.406673024,7.73470446,26.92413563,713.3422971,20.08324777,-8.714194868,28.66211659,4.223460575,7.610837176,14.57376189,-3.348375992,1512.492372,209.0393632,60.19145761,36.32019076,494.291457,259.3044657,360.2984388,376.4738033,-54.16,46.96
20,-54.16608545,47.92958585,BioSimMap,4.738251012,8.801279545,27.13967063,802.9007658,21.55786686,-10.96970992,32.51454265,2.025641045,6.948466244,14.71957297,-5.001598818,1353.355475,188.7717825,53.78736491,36.12881018,448.5971739,234.944643,316.288575,354.9706562,-54.17,47.89
21,-54.24938737,47.92958585,BioSimMap,4.729800899,8.753816581,27.02575032,803.0073361,21.48093703,-10.99040128,32.45255214,2.038769476,6.947525647,14.7032256,-5.028304513,1357.217145,189.4634541,53.87616497,36.20825577,449.7991579,235.6239166,317.2431343,355.0321514,-54.27,47.93
22,-54.33268929,47.67973675,BioSimMap,5.216486163,8.305234188,26.88913531,767.1880374,20.90704569,-9.990095034,30.85049541,3.427357953,7.596177264,14.77192904,-4.177314814,1432.656676,202.4869281,56.18601478,36.91625083,474.7328305,246.9302078,339.5059922,363.7894224,-54.36,47.71
23,-54.66589695,47.42988766,BioSimMap,5.297361217,8.164394472,26.73526313,760.6506631,20.68002919,-9.792757197,30.48489761,4.0726737,8.274944293,14.75238735,-4.033988903,1513.827875,214.4623398,59.45694942,37.18268771,500.3166526,259.0354209,353.8468192,371.4996623,-54.69,47.44
