location	location_name	Province	lat	lon	river_majority_cluster	Majority_admixed
TR	TroutRiver	NL-Labrador	49.65	-57.76	LAB	FALSE
SR	SusanRiver	NL-Labrador	53.74	-61.04	LAB	FALSE
CHR	St Charles	NL-Labrador	52.23	-55.84	LAB	FALSE
SK	SebaskachuRiver	NL-Labrador	53.79	-60.14	LAB	FALSE
SH	SandHillRiver	NL-Labrador	53.57	-56.35	LAB	FALSE
RW	RedWineRiver	NL-Labrador	53.93	-61.00	LAB	FALSE
PR	PetersRiver	NL-Labrador	53.34	-60.71	LAB	FALSE
PA	ParadiseRiver	NL-Labrador	53.42	-57.25	LAB	FALSE
MU	MulliganRiver	NL-Labrador	53.87	-60.09	LAB	FALSE
MNB	MainBrook	NL-Labrador	54.24	-57.87	LAB	FALSE
LL	L'anseauLoupRiver	NL-Labrador	51.53	-56.82	LAB	TRUE
KE	KenamuRiver	NL-Labrador	53.48	-59.91	LAB	FALSE
H	HuntRiver	NL-Labrador	55.57	-60.67	LAB	FALSE
FO	ForteauRiver	NL-Labrador	51.48	-56.94	LAB	TRUE
ENG	English River	NL-Labrador	54.97	-59.75	LAB	FALSE
EA	EagleRiver	NL-Labrador	53.53	-57.47	LAB	FALSE
CR	CrookedRiver	NL-Labrador	53.87	-60.83	LAB	FALSE
CL	CarolineRiver	NL-Labrador	53.25	-60.42	LAB	FALSE
CB	CapeCaribou	NL-Labrador	53.62	-60.42	LAB	FALSE
BIG	Big River	NL-Labrador	54.84	-58.94	LAB	FALSE
COR	Corneille	QC	50.28	-62.88	NFL	TRUE
NAT	Natashquan	QC	50.12	-61.80	STL	TRUE
TRI	RiviredelaTrinite	QC	49.42	-67.30	STL	TRUE
SJQ	Saint-Jean (NorthShore) SJQ8	QC	50.28	-64.33	STL	TRUE
NHR	North Harbour River	NL	47.21	-53.62	NFL	FALSE
BER	Big East	NL	50.63	-57.17	NFL	TRUE
CRB	CapeRogerBrook	NL	47.44	-54.69	NFL	FALSE
ARO	RivireAuxRochers	QC	50.00	-66.86	STL	FALSE
SIM	Simms Brook 2020 YoY	NL	47.67	-55.48	NFL	FALSE
BVB	Beaver Brook	NL	50.90	-56.15	NFL	TRUE
WBR	White Bear River	NL	47.87	-57.28	NFL	TRUE
WAB	WesternArm	NL	51.19	-56.76	NFL	TRUE
DLR	DollardsBrook	NL	48.02	-56.57	NFL	TRUE
GRR	Grey River	NL	47.77	-56.93	NFL	TRUE
