"","FID","Lat","Lon","MS_sst05_5m","MS_sst06_5m","MS_sst07_5m","MS_sss05_5m","MS_sss06_5m","MS_sss07_5m","BO_ph"
"1","CB",53.62011,-60.4157,0.850000023841858,3.91000008583069,4.28000020980835,31.7999992370605,30.7700004577637,29.5300006866455,8.21199989318848
"2","CL",53.25389,-60.4157,0.449999988079071,2.38000011444092,7.01999998092651,31.7199993133545,30.7000007629395,29.5300006866455,8.21199989318848
"3","PR",53.337778,-60.705,0.490000009536743,2.10999989509583,6.26000022888184,31.7399997711182,30.6700000762939,29.5100002288818,8.21199989318848
"4","RW",53.927,-60.996,0.100000001490116,1.02999997138977,5.5,31.7399997711182,30.6599998474121,29.5,8.21199989318848
"5","SR",53.737917,-61.0425,0.100000001490116,1.02999997138977,5.5,31.7399997711182,30.6599998474121,29.5,8.21199989318848
"6","ARO",49.99688,-66.86287,2.64000010490417,9.52000045776367,13.4899997711182,27.9400005340576,26.4500007629395,26.4300003051758,7.69199991226196
"7","BAD",46.1,-60.83888889,2.40000009536743,12.7200002670288,16.5799999237061,30.5300006866455,30.25,29.7800006866455,7.94299983978271
"8","BDL",47.50754,-54.72749,2.17000007629395,6.05999994277954,13.1300001144409,32.2200012207031,32.0800018310547,31.8700008392334,8.12899971008301
"9","BDN",47.73,-55.44,1.8400000333786,6.44000005722046,15.5100002288818,32.0999984741211,31.9799995422363,31.7900009155273,8.10000038146973
"10","BER",50.63435278,-57.169375,1.70000004768372,3.33999991416931,15.5500001907349,31.6499996185303,30.8700008392334,30.4099998474121,7.98299980163574
"11","BIG",54.84,-58.94,0.270000010728836,1.60000002384186,7.67999982833862,32.7900009155273,32.0499992370605,30.4899997711182,8.15799999237061
"12","BLA",47.88528,-54.16552,1.58000004291534,3.42000007629395,14.5299997329712,32.2000007629395,31.9799995422363,31.6399993896484,8.15499973297119
"13","BRA",46.88712,-53.96672,2.86999988555908,5.82999992370605,12.1000003814697,32.1300010681152,32,31.8500003814697,8.16199970245361
"14","BSA",47.05674,-55.22287,1.25,3.69000005722046,14.1599998474121,32.1500015258789,32.0400009155273,31.8799991607666,8.11900043487549
"15","BSR",45.42,-65.41,4.48999977111816,8.39000034332275,11.5699996948242,29.8799991607666,29.1800003051758,29.25,7.95800018310547
"16","BVB",50.9,-56.15,1.0900000333786,2.08999991416931,11.710000038147,31.7999992370605,30.8500003814697,30.2600002288818,8.08199977874756
"17","CBC",47.96587,-53.9592,1.70000004768372,4.07999992370605,12.3299999237061,32.1800003051758,31.9099998474121,31.5,8.15799999237061
"18","CHR",52.23,-55.84,0.300000011920929,0.600000023841858,9.3100004196167,31.1599998474121,30.1100006103516,29.6900005340576,8.11600017547607
"19","CHT",46.64494333,-60.94649667,3.78999996185303,10.1499996185303,17.0699996948242,30.5599994659424,30.1599998474121,29.7299995422363,7.94000005722046
"20","CLY",46.660688,-60.410384,2.25,7.76999998092651,15.8100004196167,30.7099990844727,30.4300003051758,30,7.92199993133545
"21","CMP",49.282,-54.9344,2.45000004768372,4.05000019073486,13.0600004196167,32.3199996948242,31.7299995422363,31.0300006866455,8.12199974060059
"22","CNR",47.91,-55.7,3.39000010490417,7.86999988555908,13.3199996948242,32.0400009155273,31.9200000762939,31.7099990844727,8.08500003814697
"23","COD",47.841,-59.2032,2.16000008583069,11.4099998474121,11.0500001907349,31.2099990844727,31.0100002288818,30.6900005340576,7.94600009918213
"24","COR",50.28,-62.88,2.03999996185303,7.73000001907349,12.4300003051758,30.8299999237061,30.1700000762939,29.6599998474121,7.79099988937378
"25","CRB",47.44053,-54.6931,3.17000007629395,6.88000011444092,13.0500001907349,32.2299995422363,32.0800018310547,31.8799991607666,8.13700008392334
"26","CR",53.865,-60.826111,0.100000001490116,1.02999997138977,5.5,31.7399997711182,30.6599998474121,29.5,8.21199989318848
